study_id,theme,subtheme,summary,quote,quote_page,quote_section,location_context,confidence
Misha2021-Ethiopia-JimmaMedicalCenter-2019-01,amr_prevalence,other,"High rates of antimicrobial resistance were observed among SSI isolates, especially to ceftriaxone and other commonly used antibiotics.","The Gram-negative pathogens showed high resistance toward Cefepime (87.88%), ceftriaxone (78.79%), Cefuroxime (63.63%), cotrimoxazole (54.55%), ciprofloxacin (60.60%), and ampicillin (60.60%).",5,Antibiotic susceptibility pattern of SSI isolates,"Jimma Medical Center, Ethiopia",high
Misha2021-Ethiopia-JimmaMedicalCenter-2019-01,burden_incidence,other,SSI incidence was high (21.1%) among surgical patients at Jimma Medical Center.,"From a cohort of 251 patients who underwent surgery at Jimma Medical Center, 53 (21.1%) of them developed surgical site infections.",4,Incidence of SSI,"Jimma Medical Center, Ethiopia",high
Misha2021-Ethiopia-JimmaMedicalCenter-2019-01,drivers_amr,other,"Indiscriminate use of antibiotics, especially ceftriaxone, may contribute to high resistance rates.",This remarkably higher resistance might be the indiscriminate use of ceftriaxone as prophylaxis to all who underwent surgery in our hospital.,8,Discussion,"Jimma Medical Center, Ethiopia",moderate
Misha2021-Ethiopia-JimmaMedicalCenter-2019-01,prevention_control,other,Routine microbial analysis and proper infection prevention practices are recommended to address high SSI and AMR rates.,"As there is high antibiotic resistance observed in the current study, it is necessary for routine microbial analysis of samples and their antibiogram. In addition, we recommend proper infection prevention practices to break the disease transmission cycle.",8,Conclusion,"Jimma Medical Center, Ethiopia",high
Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,burden_incidence,incidence,"SSI incidence rate at CHUK was 10.9%, comparable to other developing countries.",The overall incidence of SSI after surgery was 10.2% (34/294)...,3,Incidence rate of surgical site infections,"Rwanda, CHUK",high
Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,amr_prevalence,resistance patterns,"High resistance rates to commonly used antibiotics (amoxicillin-clavulanate, gentamicin, ciprofloxacin, ceftriaxone) among SSI isolates; amikacin and imipenem remained effective.","The pathogens revealed different levels of antibiotic resistance; amoxy-clavilinic acid (98.8%), gentamicin (92.6%), ciprofloxacin (78.1%) and ceftriaxone (53.3%).",1,Abstract,"Rwanda, CHUK",high
Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,drivers_amr,inappropriate use,High resistance may be due to easy availability and inappropriate use of antibiotics in hospitals.,This remarkably higher resistance may be due to their easily availability and inappropriate use of the drugs in our hospitals.,7,Discussion,"Rwanda, CHUK",moderate
Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,prevention_control,surveillance practices,"Periodic surveillance of bacteria and antibiotic susceptibility, coupled with strict protocols for antibiotic administration and operative room regulations, are recommended.",Periodic surveillance of bacteria and antibiotic susceptibility coupled with the implementation of strict protocol for antibiotic administration and operative room regulations are important to minimize the burden of SSI with resistant bacteria pathogens.,1,Abstract,"Rwanda, CHUK",high
DeNardo2016-Tanzania-Dodoma-2013-1,burden_incidence,other,"The study documented an extremely high incidence of post-caesarean section SSI at 48.2%, which is substantially higher than other reports from the same country, indicating a significant local burden of infection.","The detected incidence rate of post-CS SSI was extremely high, at 48.2%. A recent report from Tanzania documented a more than four-fold lower incidence of post-CS SSI compared with our study (10.9% vs 48.2%).",3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,amr_prevalence,other,"A very high MRSA prevalence of 79% among S. aureus isolates from SSIs was found, suggesting significant healthcare-associated transmission and a high burden of resistant pathogens.",The MRSA prevalence rate (79%) also seems to suggest healthcare-associated infections...,3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,drivers_amr,inappropriate_use,"Inappropriate antibiotic use, particularly the administration of prophylaxis post-operatively rather than pre-incision and the use of third-generation cephalosporins, is cited as a likely driver of high infection and resistance rates.","...inappropriate use of antibiotics, particularly third-generation cephalosporins.",3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,drivers_amr,inappropriate_use,"Inappropriate antibiotic use, particularly the administration of prophylaxis post-operatively rather than pre-incision and the use of third-generation cephalosporins, is cited as a likely driver of high infection and resistance rates.",no consistent protocol for the administration of antibiotic prophylaxis is available and usually antimicrobials are administered after the operation...,3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,drivers_amr,IPC_gaps,Likely contamination in the operating theatre and overcrowding in wards are highlighted as potential drivers of nosocomial infections.,...probable contamination in the theatre during the operations.,3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,drivers_amr,IPC_gaps,Likely contamination in the operating theatre and overcrowding in wards are highlighted as potential drivers of nosocomial infections.,The overcrowding of labour rooms and post-delivery ward...need to be addressed to decrease the occurrence of nosocomial infections...,3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,drivers_amr,workforce,"Surgical procedures performed by less experienced junior doctors were associated with a higher risk of SSI, indicating that staff training and supervision are important determinants of surgical outcomes.",Univariate analysis suggested that surgical procedures performed by interns were associated with a higher risk of SSI compared with those performed by senior doctors...,3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,policy_capacity,stewardship_policy,"The facility lacks both antimicrobial stewardship programs and consistent protocols for surgical antibiotic prophylaxis, highlighting a need to review and implement national and local guidelines.","...the lack of antimicrobial stewardship, need to be addressed to decrease the occurrence of nosocomial infections and the burden of resistant bacteria.",3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
DeNardo2016-Tanzania-Dodoma-2013-1,policy_capacity,stewardship_policy,"The facility lacks both antimicrobial stewardship programs and consistent protocols for surgical antibiotic prophylaxis, highlighting a need to review and implement national and local guidelines.",This ﬁnding may highlight a substantial need to review national guidelines and internal operative protocols on the management of pregnant women undergoing CS.,3,Discussion,"Dodoma Regional Referral Hospital, Tanzania",high
Ntirushwa2021-Rwanda-RuhengeriHospital-2015-2016-01,burden_incidence,other,"The overall SSI rate after emergency cesarean section in this rural Rwandan hospital was 4%, lower than expected and similar to rates in middle-income countries.","The overall prevalence of SSI in our population was 4.00%, which was surprisingly low compared to the baseline assumptions, which were calculated based on the literature available from other African countries.",6,Incidence of surgical site infection in both groups,"Ruhengeri Hospital, Rwanda",high
Ntirushwa2021-Rwanda-RuhengeriHospital-2015-2016-01,prevention_control,other,Rigorous infection control measures and proper timing of prophylactic antibiotics may have contributed to the low SSI rate observed.,The overall observed low rate SSI in our Study might have been a result of some good practices in infections prevention practices which were systematic in Ruhengeri Hospital. These included adequate timing of prophylactic antibiotics as all women were given the first doses before they enter the operating room ensuring antibiotics are given before skin incision as recommended.,7,Discussion,"Ruhengeri Hospital, Rwanda",high
Ntirushwa2021-Rwanda-RuhengeriHospital-2015-2016-01,drivers_amr,other,Provider preference for extended antibiotic regimens and workload limited enrollment and adherence to protocol.,Some of the challenges which contributed to the limitation of our study included providers related factors; some of the healthcare providers preferred to stick on their routine practice of using extended dose of antibiotics or a packed workload prevented them from enrolling many women who were eligible to participate in the study.,7,Discussion,"Ruhengeri Hospital, Rwanda",moderate
Odoko2024-Ethiopia-SodoHospitals-2022-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of ESBL (46%) and carbapenemase (15%) producing Enterobacteriaceae were found among SSI suspects, with predominant resistance to cefepime, ceftriaxone, ceftazidime, and amoxicillin-clavulanic acid.","Of 69 Enterobacteriaceae isolates, 66.6 % (46/69) were positive for ESBL production, and 21.7 (15/69) were positive for carbapenemase-producing Enterobacteriaceae.",1,Result,"Southern Ethiopia, Wolaita Sodo Comprehensive Specialized Hospital and Sodo Christian General Hospital",high
Odoko2024-Ethiopia-SodoHospitals-2022-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of ESBL (46%) and carbapenemase (15%) producing Enterobacteriaceae were found among SSI suspects, with predominant resistance to cefepime, ceftriaxone, ceftazidime, and amoxicillin-clavulanic acid.","The majority of Enterobacteriaceae isolates showed sensitivity to meropenem (72.1%); however revealed 63.9% and 70.5% were resistant to gentamicin and ciprofloxacin, respectively.",1,Result,"Southern Ethiopia, Wolaita Sodo Comprehensive Specialized Hospital and Sodo Christian General Hospital",high
Odoko2024-Ethiopia-SodoHospitals-2022-01,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors","Overuse of antibiotics, self-medication, prescribing without susceptibility testing, and prolonged hospital stays are contributing factors to ESBL and CPE prevalence.","The issue of ESBL in developing countries has been made severe by the overuse of antibiotics, overdosing, self-medication, prescribing medications without conducting the proper susceptibility testing, and extended hospital stays.",3,Introduction,Southern Ethiopia,moderate
Odoko2024-Ethiopia-SodoHospitals-2022-01,prevention_control,"IPC programs, bundles, surveillance practices","Advancements in infection prevention and control practices have occurred, but SSIs remain a major cause of prolonged hospital stays, morbidity, and mortality.","While there have been advancements in infection prevention and control practices, such as better ventilation of surgical sites, surgical techniques, barriers, and the availability of antimicrobials or antibiotics used for prophylaxis, surgical site infections (SSIs) still account for a major cause of prolonged hospital stays, morbidity, and mortality.",2,Introduction,Southern Ethiopia,moderate
Odoko2024-Ethiopia-SodoHospitals-2022-01,evidence_gaps,explicit gaps and research priorities,"Research on ESBL and CPE for SSI is lacking in developing nations like Ethiopia, especially in southern regions.","Yet, research on ESBL and CPE for SSI is lacking in developing nations like Ethiopia, and no study has previously examined the prevalence of ESBL and CPE with SSI in the southern Ethiopian region of Wolaita.",3,Introduction,Southern Ethiopia,high
Ojulong2009-Uganda-Mulago-2007-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of multidrug resistance were observed among MRSA isolates from surgical site infections, with resistance to most commonly available antibiotics except vancomycin and clindamycin (though inducible resistance was common).","Resistance rates of MRSA were 88.2% for trimethoprim-sulfamethoxazole, 88.2% for erythromycin, 58.8% for gentamycin, 70.6% for ciprofloxacin, and 88.2% for chloramphenicol. All isolates were found to be sensitive to vancomycin and clindamycin though the D-test was found to be positive in 82.4% of the isolates.",1,Abstract,"Mulago Hospital, Kampala, Uganda",high
Ojulong2009-Uganda-Mulago-2007-01,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors",The high prevalence of multidrug resistant MRSA is attributed to the use of broad-spectrum antibiotics and possible clonal expansion and drug pressure in the community.,"Gentamycin, which was proposed to be an alternative therapy to MRSA infection, was found to be still better in this part of the world (52.6%). This is perhaps due to the different clonal expansion and drug pressure in the community.",3,Discussion,"Mulago Hospital, Kampala, Uganda",moderate
Ojulong2009-Uganda-Mulago-2007-01,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors",The high prevalence of multidrug resistant MRSA is attributed to the use of broad-spectrum antibiotics and possible clonal expansion and drug pressure in the community.,The use of broad-spectrum antibiotics for treating infections also increases the rate of MRSA and other resistant bacteria.,4,Discussion,"Mulago Hospital, Kampala, Uganda",moderate
Ojulong2009-Uganda-Mulago-2007-01,microbiology_diagnostics,"lab capacity, methods, turnaround times","MRSA identification was confirmed by standard methods and PCR, with susceptibility testing performed by disc diffusion and agar screen methods according to CLSI standards.",S. aurues isolates were identified using standard procedures and tested for oxacillin resistance according to methods of the National Committee for Clinical Laboratory Standards.,1,Abstract,"Mulago Hospital, Kampala, Uganda",high
Ojulong2009-Uganda-Mulago-2007-01,microbiology_diagnostics,"lab capacity, methods, turnaround times","MRSA identification was confirmed by standard methods and PCR, with susceptibility testing performed by disc diffusion and agar screen methods according to CLSI standards.","Identification of S. aureus was confirmed by standard methods and susceptibility testing was performed by disc diffusion on Mueller-Hinton agar (Difco, USA) with 24-h incubation at 35°C. Interpretation criteria were those of the National Committee for Clinical Laboratory Standards (2003). Resistance to oxacillin was confirmed by agar screen method using an agar plate containing 6 µg/ml of oxacillin and Mueller-Hinton agar supplemented with NaCl (4% w/v; 0.68 mol/L).",2,Laboratory protocol,"Mulago Hospital, Kampala, Uganda",high
Ojulong2009-Uganda-Mulago-2007-01,prevention_control,"IPC programs, bundles, surveillance practices",Hand hygiene and avoidance of transmission by caregivers are recognized as effective methods for controlling MRSA spread.,The first and the most effective way among these are to avoid transmission through hand contamination by the person responsible for caring the infected patients.,4,Discussion,"Mulago Hospital, Kampala, Uganda",moderate
Ojulong2009-Uganda-Mulago-2007-01,evidence_gaps,explicit gaps and research priorities,A larger study is recommended to determine antibiotic susceptibility of MRSA in various hospitals in the East African region.,A further large study with a large sample should be carried out to find antibiotic susceptibility of MRSA in various hospitals in the East African region.,4,Discussion,East African region,high
Ojulong2009-Uganda-Mulago-2007-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"MRSA is highly prevalent (31.5%) among S. aureus isolates from surgical site infections in Mulago Hospital, Uganda.",Seventeen (31.5%) of the 54 isolates were confirmed as MRSA by PCR.,4,Abstract,"Mulago National Referral Hospital, Kampala, Uganda",high
Ojulong2009-Uganda-Mulago-2007-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"MRSA is highly prevalent (31.5%) among S. aureus isolates from surgical site infections in Mulago Hospital, Uganda.","MRSA is highly (31.5%) prevalent among populations of S. aureus isolated from surgical site infections in Mulago National Referral Hospital, Kampala Uganda.",12,Conclusion,"Mulago National Referral Hospital, Kampala, Uganda",high
Ojulong2009-Uganda-Mulago-2007-01,burden_incidence,"epidemiology of SSI (incidence, trends)","Staphylococcus aureus is highly prevalent (28.7%) in surgical site infections in Mulago Hospital, Uganda.","Out of the 188 specimen cultured, 54 (28.7%) grew S. aureus.",4,Abstract,"Mulago National Referral Hospital, Kampala, Uganda",high
Ojulong2009-Uganda-Mulago-2007-01,burden_incidence,"epidemiology of SSI (incidence, trends)","Staphylococcus aureus is highly prevalent (28.7%) in surgical site infections in Mulago Hospital, Uganda.","S. aureus is highly (28.7%) prevalent in surgical site infections in Mulago National Referral Hospital, Kampala Uganda.",12,Conclusion,"Mulago National Referral Hospital, Kampala, Uganda",high
Ojulong2009-Uganda-Mulago-2007-01,drivers_amr,"determinants (inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors)",Indiscriminate use of antibiotics may explain the observed MRSA prevalence in SSI at Mulago Hospital.,"Emergence of documented multi-drug resistance bacteria pathogens (Agwu et al., 2004) due to indiscriminate use of antibiotics (Agwu et al., 2005) may explain the observed 31.5% prevalence of MRSA in SSI at the Mulago National Referral Hospital Kampala, Uganda.",10,Discussion,"Mulago National Referral Hospital, Kampala, Uganda",moderate
Scherbaum2014-Gabon-Lambarene-2009-01,burden_incidence,epidemiology of SSI,"The cumulative incidence of nosocomial infections was low overall, but surgical site infections comprised the largest proportion.",The cumulative incidence of nosocomial infections was 1.6 infections per 100 patients in six months (95% CI 1.1 - 2.0) or 3.6 infections per 1000 in-patient days (95% CI 2.6 – 4.6).,3,Results,"Albert Schweitzer Hospital, Lambaréné, Gabon",high
Scherbaum2014-Gabon-Lambarene-2009-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,High rates of ESBL-producing E. coli and K. pneumoniae were found among nosocomial infection isolates.,Eight (40%) of 20 identified E. coli and Klebsiella spp. strains were ESBL-producing organisms.,1,Abstract,"Albert Schweitzer Hospital, Lambaréné, Gabon",high
Scherbaum2014-Gabon-Lambarene-2009-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,High rates of ESBL-producing E. coli and K. pneumoniae were found among nosocomial infection isolates.,One of our most striking findings was the fact that five of 14 E. coli strains (36%) and three of six K. pneumoniae strains (50%) were ESBL-producers.,5,Discussion and conclusions,"Albert Schweitzer Hospital, Lambaréné, Gabon",high
Scherbaum2014-Gabon-Lambarene-2009-01,drivers_amr,inappropriate use,"Inappropriate use of antibiotics, including routine prophylaxis of long duration, is a major factor favoring infection with multi-resistant pathogens.",These findings support the view that inappropriate use of anti-infectious medications including routine antibiotic prophylaxis of long duration is a major factor favouring infection with multi-resistant pathogens.,6,Discussion and conclusions,"Albert Schweitzer Hospital, Lambaréné, Gabon",moderate
Scherbaum2014-Gabon-Lambarene-2009-01,outcomes_clinical,"morbidity, mortality, complications",Nosocomial infections led to increased length of stay and in-hospital mortality among affected patients.,"With a mean stay of 27 (range: 4–108) days, patients with nosocomial infections stayed in hospital for 23 days longer than the average patient.",6,Discussion and conclusions,"Albert Schweitzer Hospital, Lambaréné, Gabon",high
Scherbaum2014-Gabon-Lambarene-2009-01,outcomes_clinical,"morbidity, mortality, complications",Nosocomial infections led to increased length of stay and in-hospital mortality among affected patients.,During the study four (11%) of the patients with nosocomial infections died.,3,Results,"Albert Schweitzer Hospital, Lambaréné, Gabon",high
Scherbaum2014-Gabon-Lambarene-2009-01,prevention_control,"IPC programs, bundles, surveillance practices",Detailed surveillance of nosocomial infections is mandatory to reduce hospital-acquired infections and improve patient outcomes.,We also showed that at small rural hospitals detailed surveillance of nosocomial infections is mandatory to be able to reduce hospital-acquired infections and improve patient outcome.,7,Discussion and conclusions,"Albert Schweitzer Hospital, Lambaréné, Gabon",moderate
Scherbaum2014-Gabon-Lambarene-2009-01,interventions_innovations,antibiotic stewardship,"Introducing antibiotic stewardship measures, including appropriate use of antibiotics, is recommended to reduce multiresistant pathogens.","These could, for example, consist of introducing antibiotic stewardship measures which includes appropriate use of antibiotic medications in the hospital setting.",7,Discussion and conclusions,"Albert Schweitzer Hospital, Lambaréné, Gabon",moderate
Velin2021-Rwanda-KireheDistrictHospital-2019_2020-01,burden_incidence,epidemiology of SSI,"SSI incidence after cesarean section in rural Rwanda was 5.7% at POD 11, with most infections being superficial.","Among the 795 women who completed the POD 11 study visit, 45 (5.7%) were diagnosed with an SSI. Most (n = 40, 88.9%) SSIs were described as superficial, and five (11.1%) were deep.",4,DETAILS OF SURGICAL SITE INFECTIONS,"Kirehe District Hospital, Rwanda",high
Velin2021-Rwanda-KireheDistrictHospital-2019_2020-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"Gram-negative pathogens predominated in SSI wound cultures and showed high rates of resistance to commonly used antibiotics, including universal resistance to ampicillin and high resistance to ceftriaxone and cefepime.","No gram-negative pathogens isolated were susceptible to ampicillin, and the vast majority demonstrated intermediate susceptibility or resistance to ceftriaxone (92.1%) and cefepime (84.6%).",1,ABSTRACT,"Kirehe District Hospital, Rwanda",high
Velin2021-Rwanda-KireheDistrictHospital-2019_2020-01,drivers_amr,inappropriate use,"Universal ampicillin resistance may be due to its frequent use pre- and post-operatively, suggesting antibiotic selection pressure.","Universal ampicillin resistance among bacterial SSI isolates in this study may be a result of its long-term and frequent use preoperatively, and could indicate the need to reconsider its use as a post-operative prescription also, as it is likely adding to further resistance–with limited clinical benefit.",7,DISCUSSION,"Kirehe District Hospital, Rwanda",moderate
Velin2021-Rwanda-KireheDistrictHospital-2019_2020-01,prevention_control,surveillance practices,"SSI diagnosis was performed at POD 11 (+/- 3 days) using CDC guidelines and trained GPs, with wound swabs collected for microbiology.","Before commencing data collection, two study GPs were trained to diagnose SSIs using the Center for Disease Control and Prevention guidelines [25] and to collect swabs.",3,"STUDY POPULATION, DATA AND SAMPLE COLLECTION","Kirehe District Hospital, Rwanda",high
Velin2021-Rwanda-KireheDistrictHospital-2019_2020-01,microbiology_diagnostics,"lab capacity, methods",Microbiology cultures and AST were performed at the National Reference Laboratory using VITEK2; blood agar was prepared with human blood due to lack of sheep's blood.,"Due to difficulties procuring sheep’s blood in Rwanda, human blood obtained from the National Transfusion Center was used to prepare blood agar plates, following NRL standard practice.",4,TRANSPORT AND PROCESSING OF SAMPLES,"National Reference Laboratory, Kigali, Rwanda",high
Velin2021-Rwanda-KireheDistrictHospital-2019_2020-01,evidence_gaps,explicit gaps and research priorities,Additional research is needed to determine risk factors contributing to high prevalence of gram-negative and resistant pathogens in rural Rwanda.,Additional research is needed to determine risk factors contributing to the high prevalence of gram-negative and resistant pathogens identified in order to guide context-appropriate care and mitigate infection risks.,8,CONCLUSIONS,"Kirehe District Hospital, Rwanda",high
Wekesa2020-Uganda-MulagoHospital-201711201804-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"Almost all E. coli and Klebsiella species isolated from post-caesarean SSIs were resistant to ceftriaxone and ceftazidime, with high rates of ESBL and carbapenemase production.",Resistance to ceftriaxone was detected in all 11 (100%) of the E. coli and in 43 (97.7%) of the 44 Klebsiella species and to ceftazidime in all 11 (100%) of the E. coli and 40 (91%) of the 44 Klebsiella species.,1,Abstract,"Mulago National Referral Hospital, Kampala, Uganda",high
Wekesa2020-Uganda-MulagoHospital-201711201804-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"Almost all E. coli and Klebsiella species isolated from post-caesarean SSIs were resistant to ceftriaxone and ceftazidime, with high rates of ESBL and carbapenemase production.",Extended-spectrum beta-lactamase explained resistance to ceftazidime in 10 (91%) of the 11 E. coli and 19 (48%) of the 40 Klebsiella species. Carbapenemase production explained 15 (38%) of the 40 ceftazidime-resistant Klebsiella species.,1,Abstract,"Mulago National Referral Hospital, Kampala, Uganda",high
Wekesa2020-Uganda-MulagoHospital-201711201804-01,drivers_amr,inappropriate use,Routine use of broad-spectrum antibiotics such as ceftriaxone for prophylaxis and treatment may contribute to high resistance rates among SSI pathogens.,"The use of the hitherto broad-spectrum drugs, such as ceftriaxone, for prophylaxis, and other instances of inappropriate use of such agents, has been suspected as one of the underlying causes of resistance.",9,Discussion,"Mulago National Referral Hospital, Kampala, Uganda",moderate
Wekesa2020-Uganda-MulagoHospital-201711201804-01,prevention_control,surveillance practices,Routine culture and antimicrobial susceptibility testing are recommended to optimize antimicrobial regimens for post-caesarean SSIs.,We strongly recommend routine culture and AST on post-C/S SSIs to optimise antimicrobial regimens for each patient.,10,Conclusion,"Mulago National Referral Hospital, Kampala, Uganda",high
Worku2024-Ethiopia-Multicenter-2020-2021-1,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High prevalence of ESBL and carbapenemase-producing Acinetobacter baumannii was detected among SSI patients in Ethiopian hospitals, with alarming rates of resistance to ceftriaxone, ceftazidime, and carbapenems.",The frequency of Acinetobacter species that produce metallobetalactamases (MBLs) and ESBLs that were found in this study is extremely scary and calls for strict infection prevention and control procedures in health facilities helps to set effective antibiotics stewardship.,1,Abstract,"Ethiopia, four tertiary hospitals",high
Worku2024-Ethiopia-Multicenter-2020-2021-1,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High prevalence of ESBL and carbapenemase-producing Acinetobacter baumannii was detected among SSI patients in Ethiopian hospitals, with alarming rates of resistance to ceftriaxone, ceftazidime, and carbapenems.","Of the total 43 Acinetobacter isolates, 95.3% (41/43) were resistant to ceftriaxone, and 93% (40/43), were confirmed for ESBL production by combined disk-diffusion (CDT)",5,Results,"Ethiopia, four tertiary hospitals",high
Worku2024-Ethiopia-Multicenter-2020-2021-1,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High prevalence of ESBL and carbapenemase-producing Acinetobacter baumannii was detected among SSI patients in Ethiopian hospitals, with alarming rates of resistance to ceftriaxone, ceftazidime, and carbapenems.","In this finding 43 (85.7%) isolates were carbapenem-resistant, which is similar with a study conducted in Pakistan (89.1%) [35].",10,Discussion,"Ethiopia, four tertiary hospitals",high
Worku2024-Ethiopia-Multicenter-2020-2021-1,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors",Extensive antibiotic misuse and poor stewardship have contributed to the rapid spread of resistance to third generation cephalosporins and carbapenems among Acinetobacter species.,"However, due to extensive antibiotic misuse and poor stewardship, resistance to third generation cephalosporins has spread rapidly.",2,Introduction,"Ethiopia, hospital settings",moderate
Worku2024-Ethiopia-Multicenter-2020-2021-1,prevention_control,"IPC programs, bundles, surveillance practices",The high prevalence of ESBL and carbapenemase-producing Acinetobacter species highlights the urgent need for strict infection prevention and control measures in Ethiopian hospitals.,The frequency of Acinetobacter species that produce metallobetalactamases (MBLs) and ESBLs that were found in this study is extremely scary and calls for strict infection prevention and control procedures in health facilities helps to set effective antibiotics stewardship.,1,Abstract,"Ethiopia, hospital settings",high
Worku2024-Ethiopia-Multicenter-2020-2021-1,prevention_control,"IPC programs, bundles, surveillance practices",The high prevalence of ESBL and carbapenemase-producing Acinetobacter species highlights the urgent need for strict infection prevention and control measures in Ethiopian hospitals.,and highlights the need for infection prevention and control measures.,11,Conclusions,"Ethiopia, hospital settings",high
Worku2023-Ethiopia-FourHospitals-2020-2021-1,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"MRSA prevalence among S. aureus isolates was 24.5%, with 27.5% of methicillin-resistant Staphylococci carrying the mecA gene; vancomycin resistance was rare.","S. aureus was identified in 21.6% of participants, with 24.5% of these being methicillin-resistant Staphylococci and 0.6% showing vancomycin resistance.",1,Abstract,"Ethiopia, four tertiary hospitals",high
Worku2023-Ethiopia-FourHospitals-2020-2021-1,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"MRSA prevalence among S. aureus isolates was 24.5%, with 27.5% of methicillin-resistant Staphylococci carrying the mecA gene; vancomycin resistance was rare.","Of all participants, 5.3% (40/752) carried bacteria characterized as MRSA, while among isolates of S. aureus, the frequency of MRSA was 24.5%.",3,Results,"Ethiopia, four tertiary hospitals",high
Worku2023-Ethiopia-FourHospitals-2020-2021-1,drivers_amr,"determinants (inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors)","Older age, prolonged hospital stay, previous antibiotic use, and intraoperative prophylaxis were associated with increased risk of MRSA SSI.","Methicillin-resistant staphylococcal infections were associated with the following risk factors: age ≥61 years, prolonged duration of hospital stay, and history of previous antibiotic use, p-values < 0.05.",1,Abstract,"Ethiopia, four tertiary hospitals",high
Worku2023-Ethiopia-FourHospitals-2020-2021-1,drivers_amr,"determinants (inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors)","Older age, prolonged hospital stay, previous antibiotic use, and intraoperative prophylaxis were associated with increased risk of MRSA SSI.",The likelihood of MRSA SSI occurrence was about 3.7 times higher among patients aged ≥61 (AOR = 3.729 (1.179–11.791)) compared to those aged ≤60.,3,Results,"Ethiopia, four tertiary hospitals",high
Worku2023-Ethiopia-FourHospitals-2020-2021-1,prevention_control,"IPC programs, bundles, surveillance practices",Hospitals should strengthen infection prevention and control strategies and start antimicrobial stewardship programs.,Hospitals should strengthen infection prevention and control strategies and start antimicrobial stewardship programs.,1,Abstract,"Ethiopia, four tertiary hospitals",moderate
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,overall_incidence,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,specialty_specific,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,geographic_variation,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,
Varghese2024-Multicountry-FALCON-2018-2020-01,burden_incidence,temporal_trends,"SSI incidence 1163/5284 (22.01%) in Benin, Ghana, India, Mexico, Nigeria, Rwanda, South Africa, general, 2018-2020",,,,,
Abayneh2022-Ethiopia-MizanTepi-2021-01,burden_incidence,overall_incidence,"SSI incidence 33/262 (12.6%) in Ethiopia, obstetrics/gynecology, 2021-2021",,,,,
Abayneh2022-Ethiopia-MizanTepi-2021-01,burden_incidence,specialty_specific,"SSI incidence 33/262 (12.6%) in Ethiopia, obstetrics/gynecology, 2021-2021",,,,,
